url	abstract
https://research-information.bris.ac.uk/en/publications/school-choice-and-the-city-geographies-of-allocation-and-segregat	Urban research has increasingly acknowledged the significance of the social and spatial composition of schools in the broader socio-spatial dynamics of cities overall. With increasingly marketised education systems, parental choice of school is a key mechanism affecting wider urban processes such as gentrification. Most research into school choice in cities concentrates on the dynamics of choice (how and what parents say they choose). Fewer studies deal with the relationship between choice and the subsequent allocation of pupils to schools. This paper reports the findings of an international systematic review of the connections between parental choice and pupil allocation in school choice systems across the globe. We find that school choice is associated with higher levels of segregation of pupils from different socioeconomic and ethnic backgrounds between schools. This finding is consistent across all types of choice mechanism, in different countries and cities, and across choice systems that have been in place for different lengths of time. The reasons behind the observed relationship are, however, highly localised and contextual, including particularities of the choice mechanism, social composition of neighbourhoods and mix of school types in a city. Increases in between-school segregation may lead to schools being more homogeneous in their social composition, with broader implications for social cohesion and educational inequalities in cities. Relating the findings to the broader urban school literatures, we suggest that scales and geographies of allocation are critical in understanding the dilemmas and dynamics of choice, the resultant inequalities, and any proposed interventions or solutions to reduce these inequalities.
https://research-information.bris.ac.uk/en/publications/school-choice-in-london-and-paris-a-comparison-of-middle-class-st	Education is one major public service in which quasi-markets and other choice-based mechanisms are now established methods of delivery. The types of school people choose, and the extent to which their choices are realized, have a fundamental impact on the outcomes of any mechanism of school choice. In this article, we provide a comparative analysis of the school choice strategies of middle-class families in London and Paris. We draw on approximately 200 in-depth interviews carried out across the two cities. This enables us to investigate the extent to which middle-class school choice strategies transcend the institutional context provided by both the local (state and private) schools market and national education policy in England and France. We discuss these findings in the context of current school choice policy and consider their implications for future policy design.
https://research-information.bris.ac.uk/en/publications/towards-an-interactive-sociological-rational-choice-approach-to-t	Understanding how different groups of users make choices is central to explaining the outcomes of choice-based mechanisms such as those observed in education systems across different national contexts. We discuss two established perspectives employed to explain decision-making in relation to class and education, and develop an argument for the superior explanatory potential of an elaborated, interactive, sociological rational choice perspective. We illustrate how this framework may be operationalised to inform policy aimed at reducing class differentials in school choice and subsequent educational outcomes in the context of New Public Management ideas. 
https://research-information.bris.ac.uk/en/publications/what-parents-want-school-preferences-and-school-choice	We investigate parents’ preferences for school attributes in a unique dataset of survey, administrative, census and spatial data. Using a conditional logit, incorporating characteristics of households, schools, and home-school distance, we show that most families have strong preferences for schools’ academic performance. Parents also value schools’ socio-economic composition and distance, which may limit the potential of school choice to improve academic standards. Most of the variation in preferences for school quality across socio-economic groups arises from differences in the quality of accessible schools rather than differences in parents’ preferences, although more advantaged parents have stronger preferences for academic performance.
https://research-information.bris.ac.uk/en/publications/a-natural-experiment-in-school-accountability-the-impact-of-schoo-2	
https://research-information.bris.ac.uk/en/publications/does-naming-and-shaming-work-for-schools-and-health-services-less	
https://research-information.bris.ac.uk/en/publications/comparative-analysis-in-public-management-reflections-on-the-expe	
https://research-information.bris.ac.uk/en/publications/parental-choice-of-primary-school-in-england-what-types-of-school	This article focuses on the constraints on parental choice of school caused by geographical location, which arise due to the reliance on geographical proximity as the key oversubscription criterion for allocating school places. We investigate the assumption that most families really can choose between a range of different schools, and ask what types of school are genuinely accessible to different types of pupil. Using an innovative combination of survey and administrative data, we first determine what types of school are located near different family types. We then investigate how many of these different types of school are really available to the student, based on current catchment areas of schools and the home location of the child. This enables us to assess how access is determined by geography, and how it differs both by school type and by type of family. We show that using proximity as the main criterion to determine access to most schools affects pupils’ probability of securing a place at a particular school, with higher socio-economic status (SES) pupils being more likely to be accepted into (nearer) more advantaged schools. We argue that the large differences in the range of schools genuinely available to different families, coupled with the use of proximity as a tie-break device, continues to be a significant barrier to reducing inequality of access in the English school system.
https://research-information.bris.ac.uk/en/publications/the-dynamics-of-school-attainment-of-englands-ethnic-minorities	
https://research-information.bris.ac.uk/en/publications/evidence-from-the-comparison-of-public-service-performance	
https://research-information.bris.ac.uk/en/publications/evaluating-the-impact-of-performance-related-pay-for-teachers-in--2	This paper evaluates the impact of a performance-related pay scheme for teachers in England. Using data which matches individual pupils to individual teachers, and contains both test scores and value-added, we test whether the introduction of a payment scheme based on pupil attainment increased teacher effort. Our evaluation design controls for pupil effects, school effects and teacher effects, and adopts a difference-in-difference methodology. We find that the scheme did improve test scores and value added increased on average by about 40% of a grade per pupil.
https://research-information.bris.ac.uk/en/publications/exit-voice-and-quality-in-the-english-education-sector	
https://research-information.bris.ac.uk/en/publications/performance-measures-ranking-and-parental-choice-an-analysis-of-t	
https://research-information.bris.ac.uk/en/publications/sleepwalking-towards-segregation-the-changing-ethnic-composition-	
https://research-information.bris.ac.uk/en/publications/the-transition-of-pupils-from-primary-to-secondary-school-in-engl	
https://research-information.bris.ac.uk/en/publications/ethnic-segregation-and-educational-performance-at-secondary-schoo	Evidence suggests considerable variation among British ethnic groups in their performance at different stages of their educational careers. Many members of those groups are concentrated in particular parts of certain cities, and as a consequence many attend ethnically segregated schools. Using pupil-level and school-level data from the Pupil Level Annual School Census in England, we explore the relationship between performance and various student and school characteristics in Bradford (which has a large Pakistani population) and Leicester (with a large Indian population). We find evidence of a correlation between school ethnic composition and performance in Bradford but not in Leicester.
https://research-information.bris.ac.uk/en/publications/the-impact-of-school-choice-in-england-implications-from-the-econ	
https://research-information.bris.ac.uk/en/publications/acquisition-and-disclosure-of-genetic-information-under-alternati	
https://research-information.bris.ac.uk/en/publications/extending-choice-in-english-health-care-the-implications-of-the-e	
https://research-information.bris.ac.uk/en/publications/school-and-residential-ethnic-segregation-an-analysis-of-variatio	
https://research-information.bris.ac.uk/en/publications/what-gets-measured-gets-done-headteachers-responses-to-the-englis	English secondary schools operate within a performance management system, which includes league tables reporting school performance across a number of indicators. This article reports the results of an interview-based study, showing that head teachers care about their school's place in the league tables, and that they believe this system affects behaviour. The effects they identify include some unintended consequences, not necessarily related to improved overall school performance, including focusing on borderline students who can boost a pivotal indicator: the number of students gaining five A*-Cs at GCSE. This behaviour reflects, in part, the dual role played by headteachers: they are both educationalists (serving the interests of all pupils); and school marketers, concerned with promoting the school to existing and prospective parents. The behaviour is also consistent with economic theory, which predicts a focus on that which is measured, potentially at the expense of that which is important, in sectors characterised by incomplete measurement, by multiple stakeholders and containing workers with diverse objectives. We conclude that, given that performance indicators do affect behaviour, it is important to minimise unintended consequences, and we suggest how the use of value-added indicators of student performance may improve both what gets measured and what gets done in secondary schools.
https://research-information.bris.ac.uk/en/publications/englands-multi-ethnic-educational-system-a-classification-of-seco	
https://research-information.bris.ac.uk/en/publications/ethnic-segregation-in-englands-schools	
https://research-information.bris.ac.uk/en/publications/parallel-lives-ethnic-segregation-in-schools-and-neighbourhoods	
https://research-information.bris.ac.uk/en/publications/girls-rock-boys-roll-an-analysis-of-the-age-14-16-gender-gap-in-e	
https://research-information.bris.ac.uk/en/publications/school-segregation-in-multi-ethnic-england	
https://research-information.bris.ac.uk/en/publications/which-ranking-the-impact-of-a-value-added-measure-of-secondary-sc	
https://research-information.bris.ac.uk/en/publications/the-use-and-usefulness-of-performance-measures	
https://research-information.bris.ac.uk/en/publications/which-ranking-the-use-of-performance-indicators-in-the-english-se	
https://research-information.bris.ac.uk/en/publications/the-effects-of-regulation-and-competition-in-the-nhs-internal-mar	
https://research-information.bris.ac.uk/en/publications/governing-and-contesting-marginality-muslims-and-urban-governance	Sites of Muslim settlement in the UK are frequently portrayed as poorly integrated and governed areas – a situation that is often attributed to the excessive cultural and religious accommodation of Muslim minorities under flawed policies of state multiculturalism. Through a case study of an English city, Birmingham, home to the UK’s largest Muslim population outside of London, I argue that sites of Muslim settlement have, rather, been subject to extraordinary and punitive governing practices. These governing practices moreover rely for their legitimacy on the portrayal of these sites as poorly integrated and governed. Nevertheless, whilst areas of Muslim settlement have been subject to spatially focused, punitive forms of governance, these have not necessarily been fully coherent and they have also been contested.
https://research-information.bris.ac.uk/en/publications/acts-and-practices-of-citizenship-muslim-womens-activism-in-the-u	Drawing on the growing literature on Muslim women’s activism, this paper explores grammars of action that frame political mobilizations of Muslim women in the UK. By taking a broad view of political activism, we identify acts and practices of citizenship through which Muslim women activists engage with, reinterpret and challenge social norms. The article critically engages with dominant readings of post-migration minorities’ political mobilization through the lens of citizenship regimes and draws attention to more processual and agency-centred perspectives on citizenship. We focus on two salient themes that Bristol-based Muslim activists were concerned with: mobilizing against violence against women, manifested in the anti-FGM campaign by Integrate Bristol, and attempts to re-negotiate the terms of participation in religious spaces, manifested in claims for more inclusive mosques. In both instances, mobilization was not confined to the local community or national level, but supported by and embedded in related transnational struggles.
